Brand,post_id,post_text,time,likes,comments,shares,post_url,sentiment_score,sentiment_magnitude
DMK,5158041480937283,"We believe in making a difference and supporting the women community, to help women look and feel good to #journeywithcourage. Hence, this March, we want to commemorate International Women’s Month in a meaningful way. The theme for this year is Self-Esteem - an important aspect of looking and feeling good, while believing you deserve all the love in the world. In the coming days, aspirational women will be sharing stories of how they overcome issues with self-esteem, which we hope will help women feel stronger and to #journeywithcourage. 💖
 
 Beyond that, from 1st-31st March, 38% of proceeds from the #feelgoodDMK collection will be donated to Star Shelter to support survivors (women and children) of domestic violence.
 Stay tuned for what’s to come for this initiative ✨
 
 Product Featured: Feeling Good Sneakers in White
 
 Shop via www.dmk.com.sg✨
 #DMKSHOES #journeywithcourage",2021-03-01 16:10:06,28,2,0,https://facebook.com/DMKShoes/posts/5158041480937283,0.300000012,3.5
DMK,5153548231386608,"Pink Vs White. Which one are you? 💖🤍
 
 Product featured: Carefree Sport Sandals
 
 Dropping in March online and at all DMK boutiques ✨
 
 #DMKSHOES #journeywithcourage",2021-02-28 12:00:48,505,3,0,https://facebook.com/DMKShoes/posts/5153548231386608,0.100000001,0.899999976
DMK,5147857588622339,"#TFW you wanna head out but still have a zoom meeting to attend at home 💆‍♀️
 
 Product Featured: Miss Adventure Flat Sandals
 
 Launching next week at all DMK boutiques ✨
 
 #DMKSHOES #journeywithcourage",2021-02-27 13:01:43,260,0,0,https://facebook.com/DMKShoes/posts/5147857588622339,0.200000003,1.100000024
DMK,5141543372587094,"Pick your colour for today's hustle - Still Hustling Flat Mules 🏃‍♀️
 
 Shop via www.dmk.com.sg ✨
 
 #DMKSHOES #journeywithcourage",2021-02-26 16:40:42,626,1,0,https://facebook.com/DMKShoes/posts/5141543372587094,0.200000003,0.600000024
DMK,5.13459E+15,"When choosing nude or black is a philosophical dilemma 🤔
 
 Product Featured: Buckle Up Flat Mules
 
 Shop via link in bio ✨
 
 #DMKSHOES #journeywithcourage",2021-02-25 19:50:44,721,4,0,https://facebook.com/DMKShoes/posts/5134586113282820,0,0.5
DMK,5116667235074708,"Two-toned neutral colours with duo-strap details to look dressy but chill 💁‍♀️
 
 Product Featured: Double My Life Flat Mules
 
 Shop via www.dmk.com.sg ✨
 
 #DMKSHOES #journeywithcourage",2021-02-23 17:18:37,246,0,0,https://facebook.com/DMKShoes/posts/5116667235074708,0.300000012,1.200000048
DMK,5112513508823414,"Start the week in fresh colour tones with Croc Charm Loafers. Extra bonus — They’re lined with the softest cushion to feel like ☁️
 
 In-store exclusive | Dropping soon online ✨
 
 #DMKSHOES #journeywithcourage",2021-02-22 17:05:44,21,0,0,https://facebook.com/DMKShoes/posts/5112513508823414,0.5,2
DMK,5107819652626133,"@shuutravels channeling 💙 energy in Spring Fling Block Heel Sandals
 
 Shop now online and in-stores ✨
 
 #DMKSHOES #journeywithcourage",2021-02-21 12:04:47,345,0,0,https://facebook.com/DMKShoes/posts/5107819652626133,0.300000012,1.100000024
DMK,5104462732961825,"@soniaasyira serving major 💜 vibes in Pastel Therapy Sneakers
 
 Shop now online and in-stores ✨
 
 #DMKSHOES #journeywithcourage",2021-02-20 16:23:11,273,0,0,https://facebook.com/DMKShoes/posts/5104462732961825,0.400000006,1.299999952
DMK,5100860119988753,"@diyannahsyfqh’s #journeywithcourage companion — Face The Lace Block Heel Sandals
 
 Shop now via www.dmk.com.sg ✨
 
 #DMKSHOES #journeywithcourage",2021-02-19 19:38:36,23,0,0,https://facebook.com/DMKShoes/posts/5100860119988753,0.200000003,0.600000024
DMK,5096382797103152,"Turn heads like @lindsayvoitton in a red dress and Chain Reaction Asymmetric Heel Sandals ❤️
 
 Shop now online and in-stores!
 
 #DMKSHOES #journeywithcourage",2021-02-18 18:24:02,587,11,0,https://facebook.com/DMKShoes/posts/5096382797103152,0.5,1.5
DMK,5091365674271531,"@aglimpseofrach makes a bold fashion statement in Chain Reaction Asymmetric Heel Sandals ✨
 
 Shop now online and in-stores!
 
 #DMKSHOES #journeywithcourage
 
 📸@jtwonggg.photography",2021-02-17 17:18:20,294,1,0,https://facebook.com/DMKShoes/posts/5091365674271531,0.400000006,1.899999976
